artist,song,year,value
"Tyler, the Creator",Yonkers,2011,XL
Adele,Someone Like You,2011,Columbia
Beach House,Zebra,2010,Sub Pop
Caribou,Can't Do Without You,2014,Merge
FKA twigs,Two Weeks,2014,Young Turks
Kacey Musgraves,Slow Burn,2018,MCA Nashville
King Krule,Out Getting Ribs,2010,House Anxiety
Drake,Worst Behavior,2013,Cash Money
Phoebe Bridgers,Motion Sickness,2017,Dead Oceans
Bobby Shmurda,Hot Nigga,2014,Epic
Rihanna,We Found Love [ft. Calvin Harris],2011,Island Def Jam
EMA,California,2011,Soutterain Transmissions
Future,March Madness,2015,Freebandz
David Bowie,Blackstar,2015,Columbia
Miguel,Adorn,2012,RCA
Taylor Swift,All Too Well,2012,Big Machine
Vince Staples,Norf Norf,2015,Def Jam
Bat for Lashes,Laura,2012,Parlophone
Disclosure,Latch [ft. Sam Smith],2012,PMR
Solange,Losing You,2012,Terrible
Camp Cope,The Opener,2017,Run for Cover
Kendrick Lamar,Bitch Don't Kill My Vibe,2012,Aftermath
Arcade Fire,Sprawl II Mountains Beyond Mountains,2010,Merge
Gyptian,Hold Yuh,2010,VP
Ariana Grande,thank u next,2018,Republic
Tame Impala,Let It Happen,2015,Modular
The Knife,Full of Fire,2013,Rabid
Robyn,Call Your Girlfriend,2010,Interscope
Big Thief,Mary,2017,Saddle Creek
Lorde,The Louvre,2017,Republic
SZA,The Weekend,2017,Top Dawg
Courtney Barnett,Avant Gardener,2013,Marathon Artists
Frank Ocean,Nights,2016,Self-released
SOPHIE,Bipp,2013,Numbers
Kanye West,Monster [ft. Justin Vernon Rick Ross JAY-Z and Nicki Minaj],2010,G.O.O.D.
Jai Paul,BTSTU edit,2011,XL
Carly Rae Jepsen,Run Away With Me,2015,Interscope
Rae Sremmurd,Black Beatles [ft. Gucci Mane],2016,Ear Drummer
Future Islands,Seasons Waiting on You,2014,4AD
LCD Soundsystem,Dance Yrself Clean,2010,Virgin
Fiona Apple,Every Single Night,2012,Epic
Ariel Pink’s Haunted Graffiti,Round and Round,2010,4AD
Cardi B,Bodak Yellow,2017,Atlantic
Joanna Newsom,Good Intentions Paving Co.,2010,Drag City
Beyoncé,Countdown,2011,Columbia
M.I.A.,Bad Girls,2010,Self-released
Bon Iver,Holocene,2011,Jagjaguwar
FKA twigs,Cellophane,2019,Young Turks
Todd Terje,Inspector Norse,2012,Olsen
Rosalía: “Malamente (Cap.1,Augurio,2018,Sony
ANOHNI,Drone Bomb Me,2016,Rough Trade
Drake,Hold On We're Going Home [ft. Majid Jordan],2013,Cash Money
M83,Midnight City,2011,Mute
Vampire Weekend,Hannah Hunt,2013,XL
Kanye West,Runaway [ft. Pusha T],2010,G.O.O.D.
Jamie xx,Gosh,2015,XL
The 1975,Love It If We Made It,2018,Dirty Hit
Rihanna,Work [ft. Drake],2016,Roc Nation
Angel Olsen,Shut Up Kiss Me,2016,Jagjaguwar
Chief Keef,I Don't Like [ft. Lil Reese],2012,Interscope
Sky Ferreira,Everything Is Embarrassing,2012,Capitol
Bill Callahan,Riding for the Feeling,2011,Drag City
Lil Uzi Vert,XO TOUR Llif3,2017,Generation Now
Lana Del Rey,Video Games,2011,Interscope
Solange,Cranes in the Sky,2016,Columbia
Mitski,Your Best American Girl,2016,Dead Oceans
Azealia Banks,212,2011,Self-released
Frank Ocean,Thinkin Bout You,2012,Self-released
Beyoncé,Formation,2016,Parkwood
Robyn,Dancing on My Own,2010,Interscope
Grimes,Oblivion,2012,4AD
Kendrick Lamar,Alright,2015,Aftermath
Icona Pop,I Love It [ft. Charli XCX],2012,Big Beat Records
John Maus,Believer,2011,Upset the Rhythm
Nilüfer Yanya,Baby Luv,2017,ATO
