rank,artist,song,year,0,1,2
95,Rihanna,Bitch Better Have My Money,2015,Roc Nation,,
94,Hurray for the Riff Raff,Pa'lante,2017,ATO,,
93,Radiohead,True Love Waits,2016,XL,,
92,Meek Mill,Dreams and Nightmares Intro,2012,Maybach,,
91,Haim,The Wire,2013,Columbia,,
90,Blawan,Why They Hide Their Bodies Under My Garage,2012,Hinge Finger,,
89,Frank Ocean,Pyramids,2012,Def Jam,,
88,Japandroids,Younger Us,2010,Polyvinyl,,
87,Rich Gang,Lifestyle,2014,Cash Money,,
86,Destroyer,Chinatown,2011,Merge,,
85,Charli XCX,Track 10,2017,Asylum,Atlantic,
84,Kelela,Bank Head,2013,Fade to Mind,,
83,Deerhunter,Desire Lines,2010,4AD,,
82,Dej Loaf,Try Me,2014,Columbia,,
81,Cass McCombs,County Line,2011,Domino,,
80,Blood Orange,You're Not Good Enough,2013,Domino,,
79,Lana Del Rey,The greatest,2019,Polydor,Interscope,
78,Jeremih,Oui,2015,Def Jam,,
77,Kanye West,Ultralight Beam,2016,G.O.O.D.,Def Jam,
76,The National,Bloodbuzz Ohio,2010,4AD,,
75,DJ Koze,Pick Up,2018,Pampa,,
74,Jack Ü,Where Are  Now [ft. Justin Bieber],2015,Mad Decent,OWSLA,
73,Perfume Genius,Queen,2014,Matador,,
72,"Tyler, the Creator",Yonkers,2011,XL,,
71,Adele,Someone Like You,2011,Columbia,XL,
70,Beach House,Zebra,2010,Sub Pop,Bella Union,
69,Caribou,Can't Do Without You,2014,Merge,City Slang,
68,FKA twigs,Two Weeks,2014,Young Turks,,
67,Kacey Musgraves,Slow Burn,2018,MCA Nashville,,
66,King Krule,Out Getting Ribs,2010,House Anxiety,,
65,Drake,Worst Behavior,2013,Cash Money,Young Money,Republic
64,Phoebe Bridgers,Motion Sickness,2017,Dead Oceans,,
63,Bobby Shmurda,Hot Nigga,2014,Epic,,
62,Rihanna,We Found Love [ft. Calvin Harris],2011,Island Def Jam,,
61,EMA,California,2011,Soutterain Transmissions,,
60,Future,March Madness,2015,Freebandz,,
59,David Bowie,Blackstar,2015,Columbia,,
58,Miguel,Adorn,2012,RCA,,
57,Taylor Swift,All Too Well,2012,Big Machine,,
56,Vince Staples,Norf Norf,2015,Def Jam,,
55,Bat for Lashes,Laura,2012,Parlophone,EMI,
54,Disclosure,Latch [ft. Sam Smith],2012,PMR,,
53,Solange,Losing You,2012,Terrible,,
52,Camp Cope,The Opener,2017,Run for Cover,,
51,Kendrick Lamar,Bitch Don't Kill My Vibe,2012,Aftermath,Interscope,Top Dawg
50,Arcade Fire,Sprawl II Mountains Beyond Mountains,2010,Merge,,
49,Gyptian,Hold Yuh,2010,VP,,
48,Ariana Grande,thank u next,2018,Republic,,
47,Tame Impala,Let It Happen,2015,Modular,,
46,The Knife,Full of Fire,2013,Rabid,Brille,Mute
45,Robyn,Call Your Girlfriend,2010,Interscope,Konichiwa,
44,Big Thief,Mary,2017,Saddle Creek,,
43,Lorde,The Louvre,2017,Republic,,
42,SZA,The Weekend,2017,Top Dawg,RCA,
41,Courtney Barnett,Avant Gardener,2013,Marathon Artists,,
40,Frank Ocean,Nights,2016,Self-released,,
39,SOPHIE,Bipp,2013,Numbers,,
38,Kanye West,Monster [ft. Justin Vernon Rick Ross JAY-Z and Nicki Minaj],2010,G.O.O.D.,Island Def Jam,
37,Jai Paul,BTSTU edit,2011,XL,,
36,Carly Rae Jepsen,Run Away With Me,2015,Interscope,,
35,Rae Sremmurd,Black Beatles [ft. Gucci Mane],2016,Ear Drummer,,
34,Future Islands,Seasons Waiting on You,2014,4AD,,
33,LCD Soundsystem,Dance Yrself Clean,2010,Virgin,Parlophone,DFA
32,Fiona Apple,Every Single Night,2012,Epic,,
31,Ariel Pink’s Haunted Graffiti,Round and Round,2010,4AD,,
30,Cardi B,Bodak Yellow,2017,Atlantic,,
29,Joanna Newsom,Good Intentions Paving Co.,2010,Drag City,,
28,Beyoncé,Countdown,2011,Columbia,,
27,M.I.A.,Bad Girls,2010,Self-released,,
26,Bon Iver,Holocene,2011,Jagjaguwar,,
25,FKA twigs,Cellophane,2019,Young Turks,,
24,Todd Terje,Inspector Norse,2012,Olsen,,
23,Rosalía: “Malamente (Cap.1,Augurio,2018,Sony,,
22,ANOHNI,Drone Bomb Me,2016,Rough Trade,,
21,Drake,Hold On We're Going Home [ft. Majid Jordan],2013,Cash Money,Young Money,Republic
20,M83,Midnight City,2011,Mute,,
19,Vampire Weekend,Hannah Hunt,2013,XL,,
18,Kanye West,Runaway [ft. Pusha T],2010,G.O.O.D.,Island Def Jam,
17,Jamie xx,Gosh,2015,XL,,
16,The 1975,Love It If We Made It,2018,Dirty Hit,,
15,Rihanna,Work [ft. Drake],2016,Roc Nation,,
14,Angel Olsen,Shut Up Kiss Me,2016,Jagjaguwar,,
13,Chief Keef,I Don't Like [ft. Lil Reese],2012,Interscope,,
12,Sky Ferreira,Everything Is Embarrassing,2012,Capitol,,
11,Bill Callahan,Riding for the Feeling,2011,Drag City,,
10,Lil Uzi Vert,XO TOUR Llif3,2017,Generation Now,Atlantic,
9,Lana Del Rey,Video Games,2011,Interscope,Polydor,
8,Solange,Cranes in the Sky,2016,Columbia,,
7,Mitski,Your Best American Girl,2016,Dead Oceans,,
6,Azealia Banks,212,2011,Self-released,,
5,Frank Ocean,Thinkin Bout You,2012,Self-released,,
4,Beyoncé,Formation,2016,Parkwood,Columbia,
3,Robyn,Dancing on My Own,2010,Interscope,Konichiwa,
2,Grimes,Oblivion,2012,4AD,,
1,Kendrick Lamar,Alright,2015,Aftermath,Interscope,Top Dawg
